part_number,part_name,category,color,quantity,file_path
A01,Face,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A01-Face.stl
A02,Face neck clamp,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A02-Face_neck_clamp.stl
A03,Face-Plate,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A03-Face-Plate.stl
A04,L-Head side left,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A04-L-Head_side_left.stl
A04,R-Head side right,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A04-R-Head_side_right.stl
A05,Mic-array mounting insert,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A05-Mic-array_mounting_insert.stl
A06,Mic-array knob,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A06-Mic-array_knob.stl
A71,Inner part,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A71-Inner_part.stl
A72,Top part,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A72-Top_part.stl
A73,Cover neck,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A73-Cover_neck.stl
A75,L-Neck Left,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A75-L-Neck_Left.stl
A75,R-Neck Right,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A75-R-Neck_Right.stl
A75,Neck,A-Head (Face/Neck),Weiß,1,pib_stl/B-Body/Large print parts/A75-Neck.stl
A76,Neck Middle,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A76-Neck_Middle.stl
A81,Motor shaft,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A81-Motor_shaft.stl
A82,Neck axis,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A82-Neck_axis.stl
A83,Motor Adapter Neck,A-Head (Face/Neck),Weiß,1,pib_stl/A-Head/A83-Motor_Adapter_Neck.stl
B19,Flat stand,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B19-Flat_stand.stl
B19+B20,Flat stand,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/Large print parts/B19+B20-Flat_stand.stl
B20,Flat stand2,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B20-Flat_stand2.stl
B25,Wire connector,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B25-Wire_connector.stl
B26,Wire connector pawl,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B26-Wire_connector_pawl.stl
B27,Wire connector mount,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B27-Wire_connector_mount.stl
B31,Wire connector pawl forearm,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B31-Wire_connector_pawl_forearm.stl
B41,L-Clavicle Left,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B41-L-Clavicle_Left.stl
B41,R-Clavicle Right,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B41-R-Clavicle_Right.stl
B41,Clavicle,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/Large print parts/B41-Clavicle.stl
B42,R-Ribcage Right,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B42-R-Ribcage_Right.stl
B42,L-Ribcage Left,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B42-L-Ribcage_Left.stl
B42,Ribcage,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/Large print parts/B42-Ribcage.stl
B43,R-Ribcage Lower Right,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B43-R-Ribcage_Lower_Right.stl
B43,L-Ribcage Lower Left,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B43-L-Ribcage_Lower_Left.stl
B43,Ribcage Lower,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/Large print parts/B43-Ribcage_Lower.stl
B44,Electronics back,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B44-Electronics_back.stl
B45,Electronics base,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B45-Electronics_base.stl
B46,Power back,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B46-Power_back.stl
B47,Power Holder,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B47-Power_Holder.stl
B48,Hinge,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B48-Hinge.stl
B49,Hinge Plate,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B49-Hinge_Plate.stl
B51,Servo Array Scaffold,B-Body (Ribcage),Weiß,1,pib_stl/B-Body/B51-Servo_Array_Scaffold.stl
